# 功能清单变更提案 — lab-management-system-nextjs

功能树镜像 REF（fix round 1：按 check_align 裁决放弃非 BASE 行）。目标树 = 本仓 M97/M98 段原样 + BASE 26 个 F 级原样 + REF 树中挂在这 26 个 F 级下的 101 个 I 级子项（父 F ∈ BASE，_is_i_expansion 合法扩充）。排除 15 个 BASE 外 F 级及其全部 I 级（M01.F01-F03 / M02.F02-F04 / M03.F04 / M04.F01-F05 / M04.F10-F12）。状态规则：REF 已上线/开发中→本仓「规划」（落地后逐波推）；REF 已废弃→照抄「已废弃」；本仓 M02.F01 已上线保持。full-feature-parity Task 6 fix1。

当前 function-tree.md sha: beb58680f86ef50c
提案状态: 待批准

## 要改的功能

| 功能 ID | 动作 | 名称 | 理由 |
| M03.F08.I04 | 新增 | 报告归档三态过滤器 | REF 已上线，本仓初始「规划」（落地后逐波推） |
| M03.F09.I01 | 新增 | 查看按钮 | REF 已上线，本仓初始「规划」（落地后逐波推） |
| M03.F09.I02 | 新增 | 详情页 | REF 已上线，本仓初始「规划」（落地后逐波推） |
| M03.F09.I03 | 新增 | 报告预览（详情页） | REF 已上线，本仓初始「规划」（落地后逐波推） |
| M04.F06.I01 | 新增 | 型号列表 | REF 已上线，本仓初始「规划」（落地后逐波推） |
| M04.F06.I02 | 新增 | 型号新建/编辑 | REF 已上线，本仓初始「规划」（落地后逐波推） |
| M04.F06.I03 | 新增 | 型号删除 | REF 已上线，本仓初始「规划」（落地后逐波推） |
| M04.F07.I01 | 新增 | 规格列表 | REF 已上线，本仓初始「规划」（落地后逐波推） |
| M04.F07.I02 | 新增 | 规格新建/编辑 | REF 已上线，本仓初始「规划」（落地后逐波推） |
| M04.F07.I03 | 新增 | 规格删除 | REF 已上线，本仓初始「规划」（落地后逐波推） |
| M04.F08.I01 | 新增 | 等级列表 | REF 已上线，本仓初始「规划」（落地后逐波推） |
| M04.F08.I02 | 新增 | 等级新建/编辑 | REF 已上线，本仓初始「规划」（落地后逐波推） |
| M04.F08.I03 | 新增 | 等级删除 | REF 已上线，本仓初始「规划」（落地后逐波推） |
| M04.F09.I01 | 新增 | 牌号列表 | REF 已上线，本仓初始「规划」（落地后逐波推） |
| M04.F09.I02 | 新增 | 牌号新建/编辑 | REF 已上线，本仓初始「规划」（落地后逐波推） |
| M04.F09.I03 | 新增 | 牌号删除 | REF 已上线，本仓初始「规划」（落地后逐波推） |
| M05.F01.I01 | 新增 | 汇总表 | REF 已上线，本仓初始「规划」（落地后逐波推） |
| M05.F01.I02 | 新增 | 汇总类型 | REF 已废弃行照抄 |
| M06.F01.I01 | 新增 | 检测专项列表 | REF 规划行镜像 |
| M06.F01.I02 | 新增 | 检测专项新建/编辑 | REF 已上线，本仓初始「规划」（落地后逐波推） |
| M06.F01.I03 | 新增 | 检测专项删除 | REF 已上线，本仓初始「规划」（落地后逐波推） |
| M06.F02.I01 | 新增 | 检测项目列表 | REF 规划行镜像 |
| M06.F02.I02 | 新增 | 检测项目新建/编辑 | REF 已上线，本仓初始「规划」（落地后逐波推） |
| M06.F02.I03 | 新增 | 检测项目删除 | REF 已上线，本仓初始「规划」（落地后逐波推） |
| M06.F02.I04 | 新增 | 关联检测依据 | REF 已上线，本仓初始「规划」（落地后逐波推） |
| M06.F02.I05 | 新增 | 关联判定依据 | REF 已上线，本仓初始「规划」（落地后逐波推） |
| M06.F02.I06 | 新增 | 关联检测参数 | REF 已上线，本仓初始「规划」（落地后逐波推） |
| M06.F02.I07 | 新增 | 关联检测专项 | REF 已上线，本仓初始「规划」（落地后逐波推） |
| M06.F03.I01 | 新增 | 检测参数列表 | REF 规划行镜像 |
| M06.F03.I02 | 新增 | 检测参数新建/编辑 | REF 已上线，本仓初始「规划」（落地后逐波推） |
| M06.F03.I03 | 新增 | 检测参数删除 | REF 已上线，本仓初始「规划」（落地后逐波推） |
| M06.F04.I01 | 新增 | 检测标准列表 | REF 规划行镜像 |
| M06.F04.I02 | 新增 | 检测标准新建/编辑 | REF 已上线，本仓初始「规划」（落地后逐波推） |
| M06.F04.I03 | 新增 | 检测标准删除 | REF 已上线，本仓初始「规划」（落地后逐波推） |
| M06.F04.I04 | 新增 | 关联检测参数 | REF 开发中，本仓初始「规划」 |
| M06.F05.I01 | 新增 | 计算规则列表 | REF 已上线，本仓初始「规划」（落地后逐波推） |
| M06.F05.I02 | 新增 | 计算规则新建/编辑 | REF 已上线，本仓初始「规划」（落地后逐波推） |
| M06.F05.I03 | 新增 | 计算规则删除 | REF 已上线，本仓初始「规划」（落地后逐波推） |
| M06.F06.I01 | 新增 | 技术要求列表 | REF 已上线，本仓初始「规划」（落地后逐波推） |
| M06.F06.I02 | 新增 | 技术要求新建/编辑 | REF 已上线，本仓初始「规划」（落地后逐波推） |
| M06.F06.I03 | 新增 | 技术要求删除 | REF 已上线，本仓初始「规划」（落地后逐波推） |
| M06.F07.I01 | 新增 | 报告名称列表 | REF 规划行镜像 |
| M06.F07.I02 | 新增 | 报告名称新建/编辑 | REF 规划行镜像 |
| M06.F07.I03 | 新增 | 报告名称删除 | REF 规划行镜像 |
| M06.F07.I04 | 新增 | 关联检测项目 | REF 规划行镜像 |
| M06.F07.I05 | 新增 | 关联检测依据 | REF 规划行镜像 |
| M06.F07.I06 | 新增 | 关联判定依据 | REF 规划行镜像 |
| M06.F07.I07 | 新增 | 关联检测参数 | REF 开发中，本仓初始「规划」 |
| M06.F07.I08 | 新增 | 扩展属性维护 | REF 规划行镜像 |
| M06.F08.I01 | 新增 | 参数界面列表 | REF 开发中，本仓初始「规划」 |
| M06.F08.I02 | 新增 | 参数界面新建/编辑 | REF 开发中，本仓初始「规划」 |
| M06.F08.I03 | 新增 | 参数界面删除 | REF 开发中，本仓初始「规划」 |
| M06.F08.I04 | 新增 | 关联检测参数 | REF 开发中，本仓初始「规划」 |
| M06.F08.I05 | 新增 | 参数界面预览 | REF 规划行镜像 |
| M06.F08.I06 | 新增 | 参数界面预览弹窗 | REF 规划行镜像 |

## 会被牵动的对齐文件（grep 出来的，不是猜的）

### M01.F04.I01  —  无人引用

### M01.F04.I02  —  无人引用

### M01.F04.I03  —  无人引用

### M01.F04.I04  —  无人引用

### M01.F05.I01  —  无人引用

### M01.F05.I02  —  无人引用

### M01.F05.I03  —  无人引用

### M01.F05.I04  —  无人引用

### M01.F05.I05  —  无人引用

### M02.F01.I01  —  无人引用

### M02.F01.I02  —  无人引用

### M02.F01.I03  —  无人引用

### M02.F01.I04  —  无人引用

### M03.F01.I01  —  无人引用

### M03.F01.I02  —  无人引用

### M03.F01.I03  —  无人引用

### M03.F01.I04  —  无人引用

### M03.F01.I05  —  无人引用

### M03.F01.I06  —  无人引用

### M03.F01.I07  —  无人引用

### M03.F02.I01  —  无人引用

### M03.F02.I02  —  无人引用

### M03.F02.I03  —  无人引用

### M03.F02.I04  —  无人引用

### M03.F03.I01  —  无人引用

### M03.F03.I02  —  无人引用

### M03.F03.I03  —  无人引用

### M03.F03.I04  —  无人引用

### M03.F03.I05  —  无人引用

### M03.F03.I06  —  无人引用

### M03.F03.I07  —  无人引用

### M03.F05.I01  —  无人引用

### M03.F05.I02  —  无人引用

### M03.F05.I03  —  无人引用

### M03.F05.I04  —  无人引用

### M03.F06.I01  —  无人引用

### M03.F06.I02  —  无人引用

### M03.F06.I03  —  无人引用

### M03.F06.I04  —  无人引用

### M03.F07.I01  —  无人引用

### M03.F07.I02  —  无人引用

### M03.F07.I03  —  无人引用

### M03.F07.I04  —  无人引用

### M03.F08.I01  —  无人引用

### M03.F08.I02  —  无人引用

### M03.F08.I03  —  无人引用

### M03.F08.I04  —  无人引用

### M03.F09.I01  —  无人引用

### M03.F09.I02  —  无人引用

### M03.F09.I03  —  无人引用

### M04.F06.I01  —  无人引用

### M04.F06.I02  —  无人引用

### M04.F06.I03  —  无人引用

### M04.F07.I01  —  无人引用

### M04.F07.I02  —  无人引用

### M04.F07.I03  —  无人引用

### M04.F08.I01  —  无人引用

### M04.F08.I02  —  无人引用

### M04.F08.I03  —  无人引用

### M04.F09.I01  —  无人引用

### M04.F09.I02  —  无人引用

### M04.F09.I03  —  无人引用

### M05.F01.I01  —  无人引用

### M05.F01.I02  —  无人引用

### M06.F01.I01  —  无人引用

### M06.F01.I02  —  无人引用

### M06.F01.I03  —  无人引用

### M06.F02.I01  —  无人引用

### M06.F02.I02  —  无人引用

### M06.F02.I03  —  无人引用

### M06.F02.I04  —  无人引用

### M06.F02.I05  —  无人引用

### M06.F02.I06  —  无人引用

### M06.F02.I07  —  无人引用

### M06.F03.I01  —  无人引用

### M06.F03.I02  —  无人引用

### M06.F03.I03  —  无人引用

### M06.F04.I01  —  无人引用

### M06.F04.I02  —  无人引用

### M06.F04.I03  —  无人引用

### M06.F04.I04  —  无人引用

### M06.F05.I01  —  无人引用

### M06.F05.I02  —  无人引用

### M06.F05.I03  —  无人引用

### M06.F06.I01  —  无人引用

### M06.F06.I02  —  无人引用

### M06.F06.I03  —  无人引用

### M06.F07.I01  —  无人引用

### M06.F07.I02  —  无人引用

### M06.F07.I03  —  无人引用

### M06.F07.I04  —  无人引用

### M06.F07.I05  —  无人引用

### M06.F07.I06  —  无人引用

### M06.F07.I07  —  无人引用

### M06.F07.I08  —  无人引用

### M06.F08.I01  —  无人引用

### M06.F08.I02  —  无人引用

### M06.F08.I03  —  无人引用

### M06.F08.I04  —  无人引用

### M06.F08.I05  —  无人引用

### M06.F08.I06  —  无人引用

## 提案声明要同步修改的文件

  （无）

---
这些改动合理吗？
  批准: python scripts/tree_change.py -p lab-management-system-nextjs --approve
  重写: 直接编辑 output\lab-management-system-nextjs\.state\tree-change.json
